Journal,ISSN,eISSN,Category,IF(2024),IF Quartile(2024),IF Rank(2024)
Journal of Economic Sociology-Ekonomicheskaya Sotsiologiya,1726-3247,1726-3247,SOCIOLOGY(ESCI),0.3,Q4,190/219
Journal of Prison Education and Reentry,2387-2306,2387-2306,SOCIAL ISSUES(ESCI),0.3,Q4,52/68
Narrative Works-Issues Investigations & Interventions,1925-0622,1925-0622,"HUMANITIES, MULTIDISCIPLINARY(ESCI)",0.3,N/A,N/A
Obra Digital-Revista de Comunicacion,2014-5039,2014-5039,COMMUNICATION(ESCI),0.3,Q4,197/227
University of Bologna Law Review,2531-6133,2531-6133,LAW(ESCI),0.3,Q3,278/434
Acta Historica Universitatis Klaipedensis,1392-4095,2351-6526,HISTORY(ESCI),0.3,Q2,176/538
ARQ,0717-6996,0717-6996,ARCHITECTURE(AHCI),0.3,N/A,N/A
DDS-Die Deutsche Schule,0012-0731,0012-0731,EDUCATION & EDUCATIONAL RESEARCH(ESCI),0.3,Q4,628/756
Economic and Environmental Geology,1225-7281,2288-7962,GEOLOGY(ESCI),0.3,Q4,57/61
Educational Research for Social Change,2221-4070,2221-4070,EDUCATION & EDUCATIONAL RESEARCH(ESCI),0.3,Q4,628/756
Illes i Imperis,1575-0698,2385-4219,HISTORY(ESCI),0.3,Q2,176/538
Imafronte-Revista de Historia del Arte,0213-392X,1989-4562,ART(ESCI),0.3,N/A,N/A
IN PRACTICE,0263-841X,2042-7689,VETERINARY SCIENCES(SCIE),0.3,Q4,150/170
INDOGERMANISCHE FORSCHUNGEN,0019-7262,1613-0405,LANGUAGE & LINGUISTICS(AHCI);LINGUISTICS(SSCI),0.3,Q4,249/303
Journal of Interactional Research in Communication Disorders,2040-5111,2040-512X,LINGUISTICS(ESCI),0.3,Q4,249/303
Large Animal Review,1124-4593,1124-4593,"AGRICULTURE, DAIRY & ANIMAL SCIENCE(SCIE)",0.3,Q4,78/86
Margin-Journal of Applied Economic Research,0973-8010,0973-8029,ECONOMICS(ESCI),0.3,Q4,552/617
NUKLEONIKA,0029-5922,1508-5791,"CHEMISTRY, INORGANIC & NUCLEAR(SCIE);PHYSICS, NUCLEAR(SCIE)",0.3,Q4,22/22
Studies in Self-Access Learning Journal,2185-3762,2185-3762,EDUCATION & EDUCATIONAL RESEARCH(ESCI),0.3,Q4,628/756
Annales Instituti Archaeologici,1845-4046,1848-6363,ARCHAEOLOGY(ESCI),0.3,N/A,N/A
Archives of Rehabilitation,2538-6247,2538-6247,REHABILITATION(ESCI),0.3,Q4,170/173
Communications in Mathematics and Applications,0976-5905,0975-8607,MATHEMATICS(ESCI),0.3,Q4,432/483
Freshwater Crayfish,2076-4324,2076-4332,MARINE & FRESHWATER BIOLOGY(ESCI),0.3,Q4,115/119
Galilaeana-Studies in Renaissance and Early Modern Science,1971-6052,1825-3903,HISTORY & PHILOSOPHY OF SCIENCE(AHCI),0.3,Q4,85/112
Journal of Educational Sciences & Psychology,2247-6377,2247-8558,EDUCATION & EDUCATIONAL RESEARCH(ESCI),0.3,Q4,628/756
MONATSSCHRIFT KINDERHEILKUNDE,0026-9298,1433-0474,PEDIATRICS(SCIE),0.3,Q4,166/191
Revista de Psicoterapia,1130-5142,2339-7950,"PSYCHOLOGY, CLINICAL(ESCI)",0.3,Q4,180/185
Sportis-Scientific Technical Journal of School Sport Physical Education and Psychomotricity,2386-8333,2386-8333,EDUCATION & EDUCATIONAL RESEARCH(ESCI);SPORT SCIENCES(ESCI),0.3,Q4,628/756
Trudy Instituta Matematiki i Mekhaniki UrO RAN,0134-4889,0134-4889,"MATHEMATICS, APPLIED(ESCI)",0.3,Q4,328/343
VETERINARSKI ARHIV,0372-5480,1331-8055,VETERINARY SCIENCES(SCIE),0.3,Q4,150/170
American Journalism,0882-1127,2326-2486,COMMUNICATION(ESCI),0.3,Q4,197/227
Bahrain Medical Bulletin,1012-8298,1012-8298,"MEDICINE, GENERAL & INTERNAL(ESCI)",0.3,Q4,251/332
ChemKon,0944-5846,1521-3730,"EDUCATION, SCIENTIFIC DISCIPLINES(ESCI)",0.3,Q4,81/86
Ethical Perspectives,1370-0049,1783-1431,ETHICS(SSCI);PHILOSOPHY(AHCI),0.3,Q4,71/77
European Journal of Comparative Economics,1824-2979,1824-2979,EDUCATION & EDUCATIONAL RESEARCH(ESCI),0.3,Q4,628/756
International Journal of Teacher Education and Professional Development,2572-4878,2572-486X,EDUCATION & EDUCATIONAL RESEARCH(ESCI),0.3,Q4,628/756
Isegoria,1130-2097,1988-8376,PHILOSOPHY(AHCI),0.3,N/A,N/A
JAPANESE JOURNAL OF APPLIED ENTOMOLOGY AND ZOOLOGY,0021-4914,1347-6068,ENTOMOLOGY(SCIE),0.3,Q4,104/110
Journal of Science and Arts,1844-9581,2068-3049,MULTIDISCIPLINARY SCIENCES(ESCI),0.3,Q4,115/135
LAW LIBRARY JOURNAL,0023-9283,0023-9283,INFORMATION SCIENCE & LIBRARY SCIENCE(SSCI);LAW(SSCI),0.3,Q3,278/434
Macedonian Veterinary Review,1409-7621,1857-7415,VETERINARY SCIENCES(ESCI),0.3,Q4,150/170
OCTOBER,0162-2870,1536-013X,"HUMANITIES, MULTIDISCIPLINARY(AHCI)",0.3,N/A,N/A
Random Operators and Stochastic Equations,0926-6364,1569-397X,STATISTICS & PROBABILITY(ESCI),0.3,Q4,161/167
Rev Rene,1517-3852,2175-6783,NURSING(ESCI),0.3,Q4,181/192
REVISTA CHILENA DE ENTOMOLOGIA,0034-740X,0718-8994,ENTOMOLOGY(ESCI),0.3,Q4,104/110
REVISTA COLOMBIANA DE ENTOMOLOGIA,0120-0488,0120-0488,ENTOMOLOGY(SCIE),0.3,Q4,104/110
Revista Espanola de Antropologia Americana,0556-6533,1988-2718,ANTHROPOLOGY(ESCI),0.3,Q4,118/141
Sociologia Nauki i Tehnologij-Sociology of Science & Technology,2079-0910,2414-9225,HISTORY & PHILOSOPHY OF SCIENCE(ESCI);SOCIOLOGY(ESCI),0.3,Q4,85/112
ZOOLOGICHESKY ZHURNAL,0044-5134,N/A,ZOOLOGY(SCIE),0.3,Q4,177/181
Advances in Differential Equations and Control Processes,0974-3243,3048-734X,"MATHEMATICS, APPLIED(ESCI)",0.3,Q4,328/343
African Journal of Nursing and Midwifery,1682-5055,1682-5055,NURSING(ESCI),0.3,Q4,181/192
CALDASIA,0366-5232,2357-3759,PLANT SCIENCES(SCIE);ZOOLOGY(SCIE),0.3,Q4,264/273
Daimon-Revista Internacional de Filosofia,1130-0507,1989-4651,PHILOSOPHY(ESCI),0.3,N/A,N/A
DRUSTVENA ISTRAZIVANJA,1330-0288,1848-6096,SOCIAL ISSUES(SSCI);SOCIOLOGY(SSCI),0.3,Q4,52/68
Educacao & Formacao,N/A,2448-3583,EDUCATION & EDUCATIONAL RESEARCH(ESCI),0.3,Q4,628/756
ENTOMOLOGICAL NEWS,0013-872X,2162-3236,ENTOMOLOGY(SCIE),0.3,Q4,104/110
Frontiers of Business Research in China,1673-7326,1673-7431,BUSINESS(ESCI),0.3,Q4,294/316
Galactica Media-Journal of Media Studies - Galaktika Media-Zhurnal Media Issledovanij,N/A,2658-7734,COMMUNICATION(ESCI),0.3,Q4,197/227
International Journal of Applied Geospatial Research,1947-9654,1947-9662,GEOGRAPHY(ESCI),0.3,Q4,139/173
Journal of Geometry and Symmetry in Physics,1312-5192,1314-5673,"PHYSICS, MATHEMATICAL(ESCI)",0.3,Q4,61/61
Journal of the Korean Crystal Growth and Crystal Technology,1225-1429,2234-5078,CRYSTALLOGRAPHY(ESCI),0.3,Q4,30/31
Justicia,0124-7441,2590-4566,LAW(ESCI),0.3,Q3,278/434
Mathematical Reports,1582-3067,1582-3067,MATHEMATICS(SCIE),0.3,Q4,432/483
Mathematics and Informatics,1310-2230,1314-8532,EDUCATION & EDUCATIONAL RESEARCH(ESCI),0.3,Q4,628/756
Mining Science,2300-9586,2353-5423,MINING & MINERAL PROCESSING(ESCI),0.3,Q4,33/33
Onomazein,0717-1285,0718-5758,LANGUAGE & LINGUISTICS(AHCI);LINGUISTICS(SSCI),0.3,Q4,249/303
PENSAMIENTO,0031-4749,2386-5822,PHILOSOPHY(AHCI),0.3,N/A,N/A
Plato Journal,2079-7567,2183-4105,PHILOSOPHY(ESCI),0.3,N/A,N/A
Politicka Misao-Croatian Political Science Review,0032-3241,1846-8721,POLITICAL SCIENCE(ESCI),0.3,Q4,275/322
Psychoanalytic Social Work,1522-8878,1522-9033,SOCIAL WORK(ESCI),0.3,Q4,85/94
Revista de Derecho Civil,2341-2216,2341-2216,LAW(ESCI),0.3,Q3,278/434
Revista Portuguesa de Estomatologia Medicina Dentaria e Cirurgia Maxilofacial,1646-2890,1647-6700,"DENTISTRY, ORAL SURGERY & MEDICINE(ESCI)",0.3,Q4,148/162
Sociologiceskoe Obozrenie,1728-192X,1728-1938,SOCIOLOGY(ESCI),0.3,Q4,190/219
South Asian Journal of Macroeconomics and Public Finance,2277-9787,2321-0273,ECONOMICS(ESCI),0.3,Q4,552/617
Telos,0090-6514,1940-459X,PHILOSOPHY(AHCI);POLITICAL SCIENCE(SSCI);SOCIOLOGY(SSCI),0.3,Q4,275/322
TELOS-Revista de Estudios Interdisciplinarios en Ciencias Sociales,2343-5763,1317-0570,"SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",0.3,Q3,203/271
TEORIJA IN PRAKSA,0040-3598,0040-3598,"SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",0.3,Q3,203/271
Zbornik Instituta za Pedagoska Istrazivanja,0579-6431,1820-9270,EDUCATION & EDUCATIONAL RESEARCH(ESCI),0.3,Q4,628/756
ZEITSCHRIFT FUR KRISTALLOGRAPHIE-NEW CRYSTAL STRUCTURES,1433-7266,2197-4578,CRYSTALLOGRAPHY(SCIE),0.3,Q4,30/31
Africana Linguistica,2033-8732,2034-8436,LANGUAGE & LINGUISTICS(AHCI);LINGUISTICS(SSCI),0.3,Q4,249/303
ATOMIC ENERGY,1063-4258,1573-8205,NUCLEAR SCIENCE & TECHNOLOGY(SCIE),0.3,Q4,40/41
Bulletin of Glaciological Research,1345-3807,1884-8044,"GEOGRAPHY, PHYSICAL(ESCI)",0.3,Q4,66/67
Bulletin of the South Ural State University Series-Mathematical Modelling Programming & Computer Software,2071-0216,2308-0256,"MATHEMATICS, APPLIED(ESCI)",0.3,Q4,328/343
Contextos Educativos-Revista de Educacion,1575-023X,1695-5714,EDUCATION & EDUCATIONAL RESEARCH(ESCI),0.3,Q4,628/756
Croatian Journal of Education-Hrvatski Casopis za Odgoj i obrazovanje,1848-5189,1848-5197,EDUCATION & EDUCATIONAL RESEARCH(SSCI),0.3,Q4,628/756
Departures in Critical Qualitative Research,N/A,2333-9497,"SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",0.3,Q3,203/271
Indonesian Journal of Sustainability Accounting and Management,2597-6214,2597-6222,"BUSINESS, FINANCE(ESCI);MANAGEMENT(ESCI)",0.3,Q4,212/241
Journal of Control Science and Engineering,1687-5249,1687-5257,AUTOMATION & CONTROL SYSTEMS(ESCI),0.3,Q4,87/89
Journal of Education and Future-Egitim ve Gelecek Dergisi,2146-8249,2146-8249,EDUCATION & EDUCATIONAL RESEARCH(ESCI),0.3,Q4,628/756
Journal of Indian Academy of Oral Medicine and Radiology,0972-1363,0975-1572,"DENTISTRY, ORAL SURGERY & MEDICINE(ESCI)",0.3,Q4,148/162
Learning Communities-International Journal of Learning in Social Contexts,1329-1440,1329-1440,EDUCATION & EDUCATIONAL RESEARCH(ESCI),0.3,Q4,628/756
MGIMO Review of International Relations,2071-8160,2541-9099,INTERNATIONAL RELATIONS(ESCI),0.3,Q4,146/169
Obere Extremitaet-Schulter-Ellenbogen-Hand-Upper Extremity-Shoulder Elbow Hand,1862-6599,1862-6602,ORTHOPEDICS(ESCI),0.3,Q4,131/139
Otolaryngology Case Reports,2468-5488,2468-5488,OTORHINOLARYNGOLOGY(ESCI),0.3,Q4,60/67
Pensar en Movimiento-Revista de Ciencias del Ejercicio y la Salud,1409-0724,1659-4436,SPORT SCIENCES(ESCI),0.3,Q4,128/133
SPIXIANA,0341-8391,N/A,ZOOLOGY(SCIE),0.3,Q4,177/181
Temas Americanistas,1988-7868,0212-4408,HISTORY(ESCI),0.3,Q2,176/538
Tusculum-Casopis Za Solinske Teme,1846-9469,1846-9469,"HUMANITIES, MULTIDISCIPLINARY(ESCI)",0.3,N/A,N/A
Yazyk i Kultura-Language and Culture,1999-6195,2311-3235,LANGUAGE & LINGUISTICS(ESCI),0.3,N/A,N/A
AIBR-Revista de Antropologia Iberoamericana,1695-9752,1578-9705,ANTHROPOLOGY(SSCI),0.3,Q4,118/141
Anaesthesia and Intensive Care Medicine,1472-0299,1878-7584,ANESTHESIOLOGY(ESCI),0.3,Q4,58/68
ANALES DEL JARDIN BOTANICO DE MADRID,0211-1322,1988-3196,PLANT SCIENCES(SCIE),0.3,Q4,264/273
Annals of Pediatric Surgery,1687-4137,2090-5394,PEDIATRICS(ESCI),0.3,Q4,166/191
Contemporary Voice of Dalit,2455-328X,2456-0502,"SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",0.3,Q3,203/271
Current Womens Health Reviews,1573-4048,1875-6581,OBSTETRICS & GYNECOLOGY(ESCI),0.3,Q4,126/140
E-Mentor,1731-6758,1731-7428,EDUCATION & EDUCATIONAL RESEARCH(ESCI),0.3,Q4,628/756
Foro Internacional,0185-013X,2448-6523,INTERNATIONAL RELATIONS(ESCI),0.3,Q4,146/169
Geodetski Vestnik,0351-0271,1581-1328,GEOGRAPHY(SSCI),0.3,Q4,139/173
Geodynamics,1992-142X,2519-2663,GEOCHEMISTRY & GEOPHYSICS(ESCI),0.3,Q4,98/100
Iberoamericana,1577-3388,2255-520X,"HUMANITIES, MULTIDISCIPLINARY(ESCI)",0.3,N/A,N/A
International Journal of Marketing Communication and New Media,2182-9306,2182-9306,COMMUNICATION(ESCI),0.3,Q4,197/227
JOURNAL OF EXTENSION,0022-0140,1077-5315,EDUCATION & EDUCATIONAL RESEARCH(ESCI),0.3,Q4,628/756
JOURNAL OF THE LEPIDOPTERISTS SOCIETY,0024-0966,N/A,ENTOMOLOGY(SCIE),0.3,Q4,104/110
Kunstiteaduslikke Uurimusi,1406-2860,N/A,ART(AHCI),0.3,N/A,N/A
Middle East African Journal of Ophthalmology,0974-9233,0975-1599,OPHTHALMOLOGY(ESCI),0.3,Q4,92/98
MonTI,1889-4178,1989-9335,LINGUISTICS(ESCI),0.3,Q4,249/303
Nordisk Sygeplejeforskning-Nordic Nursing Research,1892-2678,1892-2686,NURSING(ESCI),0.3,Q4,181/192
Open Ophthalmology Journal,1874-3641,1874-3641,OPHTHALMOLOGY(ESCI),0.3,Q4,92/98
PFERDEHEILKUNDE,0177-7726,N/A,VETERINARY SCIENCES(SCIE),0.3,Q4,150/170
Psychology-Journal of the Higher School of Economics,1813-8918,1813-8918,"PSYCHOLOGY, MULTIDISCIPLINARY(ESCI)",0.3,Q4,200/221
Relaciones Internacionales-Madrid,1699-3950,1699-3950,INTERNATIONAL RELATIONS(ESCI),0.3,Q4,146/169
Review of Development Finance,1879-9337,1879-9337,"BUSINESS, FINANCE(ESCI)",0.3,Q4,212/241
Thai Journal of Veterinary Medicine,0125-6491,0125-6491,VETERINARY SCIENCES(SCIE),0.3,Q4,150/170
Thoracic and Cardiovascular Surgeon Reports,2194-7635,2194-7643,SURGERY(ESCI),0.3,Q4,289/312
TRANSACTIONS OF THE AMERICAN ENTOMOLOGICAL SOCIETY,0002-8320,2162-3139,ENTOMOLOGY(SCIE),0.3,Q4,104/110
Tripodos,1138-3305,2340-5007,COMMUNICATION(ESCI),0.3,Q4,197/227
Zbornik Veleucilista u Rijeci-Journal of the Polytechnics of Rijeka,1848-1299,1849-1723,"SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",0.3,Q3,203/271
Acta Bioethica,0717-5906,1726-569X,"ETHICS(SSCI);MEDICAL ETHICS(SCIE);SOCIAL SCIENCES, BIOMEDICAL(SSCI)",0.3,Q4,71/77
AMERICAN BIOLOGY TEACHER,0002-7685,1938-4211,"BIOLOGY(SCIE);EDUCATION, SCIENTIFIC DISCIPLINES(SCIE)",0.3,Q4,96/107
ARYS-Antiguedad Religiones y Sociedades,1575-166X,2173-6847,HISTORY(ESCI);RELIGION(ESCI),0.3,Q2,176/538
Chinese Archaeology,2160-5025,2160-5068,ARCHAEOLOGY(ESCI),0.3,N/A,N/A
CienciaUat,2007-7521,2007-7858,MULTIDISCIPLINARY SCIENCES(ESCI),0.3,Q4,115/135
Cuadernos CANELA,1322-9109,2189-9568,LANGUAGE & LINGUISTICS(ESCI),0.3,N/A,N/A
Economic and Social Changes-Facts Trends Forecast,2307-0331,2312-9824,ECONOMICS(ESCI),0.3,Q4,552/617
Etnoloska Tribina,0351-1944,1848-9540,ANTHROPOLOGY(ESCI),0.3,Q4,118/141
Foundation Review,1944-5660,1944-5679,SOCIAL ISSUES(ESCI),0.3,Q4,52/68
Groups Complexity Cryptology,1867-1144,1869-6104,MATHEMATICS(ESCI),0.3,Q4,432/483
He Kupu,1179-6812,1179-6812,EDUCATION & EDUCATIONAL RESEARCH(ESCI),0.3,Q4,628/756
International Journal of Combinatorial Optimization Problems and Informatics,2007-1558,2007-1558,"MATHEMATICS, APPLIED(ESCI)",0.3,Q4,328/343
Journal of Judicial Administration,1036-7918,1036-7918,PUBLIC ADMINISTRATION(ESCI),0.3,Q4,85/90
Journal of Partial Differential Equations,2079-732X,1000-940X,"MATHEMATICS, APPLIED(ESCI)",0.3,Q4,328/343
Journal of Pediatric Surgery Open,N/A,2949-7116,PEDIATRICS(ESCI);SURGERY(ESCI),0.3,Q4,166/191
JOURNAL OF THE FACULTY OF AGRICULTURE KYUSHU UNIVERSITY,0023-6152,N/A,"AGRICULTURE, MULTIDISCIPLINARY(SCIE)",0.3,Q4,84/94
Journal of the Indonesian Tropical Animal Agriculture,2087-8273,2460-6278,"AGRICULTURE, DAIRY & ANIMAL SCIENCE(ESCI)",0.3,Q4,78/86
Markov Processes and Related Fields,1024-2953,1024-2953,STATISTICS & PROBABILITY(SCIE),0.3,Q4,161/167
Masyarakat Kebudayaan dan Politik,2086-7050,2528-6013,"SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",0.3,Q3,203/271
Mineralogical Journal-Ukraine,2519-2396,2519-447X,MINERALOGY(ESCI),0.3,Q4,31/31
Notarzt,0177-2309,1438-8693,EMERGENCY MEDICINE(SCIE),0.3,Q4,50/56
Pedagogische Studien,0165-0645,2666-3996,EDUCATION & EDUCATIONAL RESEARCH(SSCI),0.3,Q4,628/756
PSYCHOLOGIE IN ERZIEHUNG UND UNTERRICHT,0342-183X,0342-183X,"PSYCHOLOGY, EDUCATIONAL(SSCI)",0.3,Q4,72/74
Revista MVZ Cordoba,0122-0268,1909-0544,"AGRICULTURE, DAIRY & ANIMAL SCIENCE(SCIE)",0.3,Q4,78/86
RUDN Journal of Sociology-Vestnik Rossiiskogo Universiteta Druzhby Narodov Seriya Sotsiologiya,2313-2272,2408-8897,SOCIOLOGY(ESCI),0.3,Q4,190/219
Surgical Techniques Development,2038-9574,2038-9582,SURGERY(ESCI),0.3,Q4,289/312
Vojenske Rozhledy-Czech Military Review,1210-3292,2336-2995,INTERNATIONAL RELATIONS(ESCI),0.3,Q4,146/169
Zeitschrift fur Palliativmedizin,1615-2921,1615-293X,HEALTH CARE SCIENCES & SERVICES(ESCI),0.3,Q4,176/185
Alternativas. Cuadernos de Trabajo Social,N/A,1989-9971,SOCIAL WORK(ESCI),0.3,Q4,85/94
Aposta-Revista de Ciencias Sociales,1696-7348,1696-7348,"SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",0.3,Q3,203/271
Apuntes Universitarios,2225-7136,2304-0335,EDUCATION & EDUCATIONAL RESEARCH(ESCI),0.3,Q4,628/756
Bariatric Surgical Practice and Patient Care,2168-023X,2168-0248,"NURSING(SCIE, SSCI);SURGERY(SCIE)",0.3,Q4,289/312
Canadian Journal of Career Development,1499-1845,1499-1853,"PSYCHOLOGY, APPLIED(ESCI)",0.3,Q4,113/115
Economic Annals-XXI,1728-6220,1728-6239,ECONOMICS(ESCI),0.3,Q4,552/617
Estudios Demograficos y Urbanos,0186-7210,2448-6515,DEMOGRAPHY(ESCI),0.3,Q4,44/50
Formosan Journal of Surgery,1682-606X,2213-5413,SURGERY(ESCI),0.3,Q4,289/312
Hacettepe Universitesi Egitim Fakultesi Dergisi-Hacettepe University Journal of Education,2536-4758,2536-4758,EDUCATION & EDUCATIONAL RESEARCH(ESCI),0.3,Q4,628/756
INDIAN JOURNAL OF ANIMAL SCIENCES,0367-8318,0367-8318,"AGRICULTURE, DAIRY & ANIMAL SCIENCE(SCIE)",0.3,Q4,78/86
INDIAN JOURNAL OF FISHERIES,0970-6011,N/A,FISHERIES(SCIE),0.3,Q4,59/61
International Journal of Economics Management and Accounting,1394-7680,1394-7680,ECONOMICS(ESCI),0.3,Q4,552/617
Iranian Journal of Neonatology,2251-7510,2322-2158,PEDIATRICS(ESCI),0.3,Q4,166/191
Italiano LinguaDue,2037-3597,2037-3597,LANGUAGE & LINGUISTICS(ESCI),0.3,N/A,N/A
Journal for New Generation Sciences,1684-4998,1684-4998,"SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",0.3,Q3,203/271
Journal of Egyptian Womens Dermatological Society,1687-1537,2090-2565,DERMATOLOGY(ESCI),0.3,Q4,88/96
Journal of Pediatric and Neonatal Individualized Medicine,2281-0692,2281-0692,PEDIATRICS(ESCI),0.3,Q4,166/191
LCGC EUROPE,1471-6577,1471-6577,"CHEMISTRY, ANALYTICAL(SCIE)",0.3,Q4,106/111
MATERIALS EVALUATION,0025-5327,0025-5327,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING(SCIE)",0.3,Q4,35/37
Revista de Pedagogia Universitaria y Didactica del Derecho,0719-5885,0719-5885,EDUCATION & EDUCATIONAL RESEARCH(ESCI),0.3,Q4,628/756
Revista Digital de Derecho Administrativo,2145-2946,2145-2946,LAW(ESCI),0.3,Q3,278/434
Revista on Line de Politica e Gestao Educacional,1519-9029,1519-9029,EDUCATION & EDUCATIONAL RESEARCH(ESCI),0.3,Q4,628/756
Sociologia y Tecnociencia,1989-8487,1989-8487,SOCIOLOGY(ESCI),0.3,Q4,190/219
Trauma Monthly,2251-7464,2251-7472,EMERGENCY MEDICINE(ESCI),0.3,Q4,50/56
Vestnik Sankt-Peterburgskogo Universiteta Seriya 10 Prikladnaya Matematika Informatika Protsessy Upravleniya,1811-9905,2542-2251,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS(ESCI)",0.3,Q4,129/136
AD-minister,1692-0279,2256-4322,BUSINESS(ESCI),0.3,Q4,294/316
Anaesthesia Pain & Intensive Care,1607-8322,2220-5799,ANESTHESIOLOGY(ESCI),0.3,Q4,58/68
Anais Brasileiros de Estudos Turisticos-ABET,2238-2925,2238-2925,"HOSPITALITY, LEISURE, SPORT & TOURISM(ESCI)",0.3,Q4,130/139
Annales Francaises de Medecine d Urgence,2108-6524,2108-6591,EMERGENCY MEDICINE(ESCI),0.3,Q4,50/56
Anuario de Filosofia del Derecho,0518-0872,0518-0872,LAW(ESCI),0.3,Q3,278/434
Archives of Psychiatry and Psychotherapy,1509-2046,2083-828X,PSYCHIATRY(ESCI),0.3,Q4,274/288
Area Abierta,1578-8393,1578-8393,COMMUNICATION(ESCI),0.3,Q4,197/227
Canadian Journal of Bioethics-Revue Canadienne de Bioethique,N/A,2561-4665,MEDICAL ETHICS(ESCI),0.3,Q4,22/23
Comptabilite Controle Audit,1262-2788,N/A,"BUSINESS, FINANCE(SSCI)",0.3,Q4,212/241
Cyprus Turkish Journal of Psychiatry and Psychology,1302-7840,2667-8225,"PSYCHIATRY(ESCI);PSYCHOLOGY, MULTIDISCIPLINARY(ESCI)",0.3,Q4,200/221
Egyptian Journal of Agronomy,0379-3575,2357-0288,AGRONOMY(ESCI),0.3,Q4,117/129
Ekonomicheskaya politika,1994-5124,2411-2658,ECONOMICS(ESCI),0.3,Q4,552/617
Enfoque UTE,1390-9363,1390-6542,"ENGINEERING, MULTIDISCIPLINARY(ESCI)",0.3,Q4,158/175
Eskisehir Osmangazi Universitesi IIBF Dergisi-Eskisehir Osmangazi University Journal of Economics and Administrative Sciences,1306-6730,1306-6730,ECONOMICS(ESCI),0.3,Q4,552/617
Estudios Geograficos,0014-1496,1988-8546,GEOGRAPHY(ESCI),0.3,Q4,139/173
Geriatrie et Psychologie Neuropsychiatrie du Vieillissement,2115-8789,2115-7863,PSYCHIATRY(SCIE);PSYCHOLOGY(SCIE),0.3,Q4,274/288
Indian Journal of Geo-Marine Sciences,N/A,2582-6727,OCEANOGRAPHY(SCIE),0.3,Q4,64/65
International Journal of Information Technology Project Management,1938-0232,1938-0240,MANAGEMENT(ESCI),0.3,Q4,393/420
International Journal of Knowledge-Based Development,2040-4468,2040-4476,URBAN STUDIES(ESCI),0.3,Q4,68/76
International Real Estate Review,2154-8919,2154-8919,ECONOMICS(ESCI),0.3,Q4,552/617
Internet Journal of Allied Health Sciences and Practice,1540-580X,1540-580X,HEALTH CARE SCIENCES & SERVICES(ESCI),0.3,Q4,176/185
ITE Transactions on Media Technology and Applications,2186-7364,2186-7364,"ENGINEERING, ELECTRICAL & ELECTRONIC(ESCI)",0.3,Q4,357/366
Journal of Basic and Clinical Health Sciences,2458-8938,2564-7288,HEALTH CARE SCIENCES & SERVICES(ESCI),0.3,Q4,176/185
Journal of Credit Risk,1744-6619,1755-9723,"BUSINESS, FINANCE(SSCI)",0.3,Q4,212/241
Journal of Language and Cultural Education,1339-4045,1339-4584,EDUCATION & EDUCATIONAL RESEARCH(ESCI),0.3,Q4,628/756
Journal of Mathematics Mechanics and Computer Science,1563-0277,2617-4871,MATHEMATICS(ESCI);MECHANICS(ESCI),0.3,Q4,432/483
Korean Economic Review,0254-3737,N/A,ECONOMICS(SSCI),0.3,Q4,552/617
Labor-Studies in Working-Class History of the Americas,1547-6715,1558-1454,INDUSTRIAL RELATIONS & LABOR(ESCI),0.3,Q4,45/52
Lenguaje y Textos,1133-4770,2530-0075,LINGUISTICS(ESCI),0.3,Q4,249/303
Methods and Objects of Chemical Analysis,1991-0290,2413-6166,"CHEMISTRY, ANALYTICAL(ESCI)",0.3,Q4,106/111
Operative Techniques in Orthopaedics,1048-6666,1558-3848,ORTHOPEDICS(ESCI),0.3,Q4,131/139
Palaeohispanica-Revista sobre Lenguas y Culturas de la Hispania Antigua,1578-5386,2603-7637,LANGUAGE & LINGUISTICS(ESCI),0.3,N/A,N/A
PERIODICUM BIOLOGORUM,0031-5362,N/A,BIOLOGY(SCIE),0.3,Q4,96/107
Pielegniarstwo Chirurgiczne i Angiologiczne-Surgical and Vascular Nursing,1897-3116,2084-9850,NURSING(ESCI),0.3,Q4,181/192
REVISTA PERUANA DE BIOLOGIA,1561-0837,1727-9933,BIOLOGY(ESCI),0.3,Q4,96/107
Saudi Journal of Kidney Diseases and Transplantation,1319-2442,2320-3838,UROLOGY & NEPHROLOGY(ESCI),0.3,Q4,128/133
Sibirskiy Psikhologicheskiy Zhurnal-Siberian Journal of Psychology,1726-7080,2411-0809,"PSYCHOLOGY, MULTIDISCIPLINARY(ESCI)",0.3,Q4,200/221
Southern African Journal of Anaesthesia and Analgesia,2220-1181,2220-1173,ANESTHESIOLOGY(ESCI),0.3,Q4,58/68
Uchenye Zapiski Kazanskogo Universiteta-Seriya Fiziko-Matematicheskie Nauki,2541-7746,2500-2198,"MATHEMATICS, APPLIED(ESCI)",0.3,Q4,328/343
